function,implementation,input_size,window_size,time
countd,Hyper naive,1,1,0.002215299755334854
countd,Hyper naive,20000,1000,0.4739030785858631
countd,Hyper naive,40000,2000,1.292273955885321
countd,Hyper naive,60000,3000,2.3049803264439106
countd,Hyper naive,80000,4000,2.6916915527544916
countd,Hyper naive,100000,5000,4.786911117844284
countd,Hyper naive,120000,6000,5.123619764111936
countd,Hyper naive,2000000,XXX,not measured. Just here to pad the plot
countd,Hyper incremental,1,1,0.002238228917121887
countd,Hyper incremental,20000,1000,0.006414288654923439
countd,Hyper incremental,40000,2000,0.00918534304946661
countd,Hyper incremental,60000,3000,0.010808981955051422
countd,Hyper incremental,80000,4000,0.012341381050646305
countd,Hyper incremental,100000,5000,0.012424834072589874
countd,Hyper incremental,120000,6000,0.01414143294095993
countd,Hyper incremental,140000,7000,0.014978197403252125
countd,Hyper incremental,160000,8000,0.018224045634269714
countd,Hyper incremental,180000,9000,0.017160847783088684
countd,Hyper incremental,200000,10000,0.018979907035827637
countd,Hyper incremental,220000,11000,0.01904767844825983
countd,Hyper incremental,240000,12000,0.0204607006162405
countd,Hyper incremental,260000,13000,0.020076424814760685
countd,Hyper incremental,280000,14000,0.020963355898857117
countd,Hyper incremental,300000,15000,0.021980774588882923
countd,Hyper incremental,320000,16000,0.02512424997985363
countd,Hyper incremental,340000,17000,0.025867716409265995
countd,Hyper incremental,360000,18000,0.02738378942012787
countd,Hyper incremental,380000,19000,0.028331820853054523
countd,Hyper incremental,400000,20000,0.028803229331970215
countd,Hyper incremental,420000,21000,0.02939317747950554
countd,Hyper incremental,440000,22000,0.03131752647459507
countd,Hyper incremental,460000,23000,0.03210458159446716
countd,Hyper incremental,480000,24000,0.03329532127827406
countd,Hyper incremental,500000,25000,0.03428914397954941
countd,Hyper incremental,520000,26000,0.03445712383836508
countd,Hyper incremental,540000,27000,0.03635902516543865
countd,Hyper incremental,560000,28000,0.038684154860675335
countd,Hyper incremental,580000,29000,0.0427394500002265
countd,Hyper incremental,600000,30000,0.04150966554880142
countd,Hyper incremental,620000,31000,0.0434717433527112
countd,Hyper incremental,640000,32000,0.04516573902219534
countd,Hyper incremental,660000,33000,0.048174464143812656
countd,Hyper incremental,680000,34000,0.050386990420520306
countd,Hyper incremental,700000,35000,0.052381803281605244
countd,Hyper incremental,720000,36000,0.0528866657987237
countd,Hyper incremental,740000,37000,0.057112098671495914
countd,Hyper incremental,760000,38000,0.0584962610155344
countd,Hyper incremental,780000,39000,0.060739800333976746
countd,Hyper incremental,800000,40000,0.060810716822743416
countd,Hyper incremental,820000,41000,0.06421658582985401
countd,Hyper incremental,840000,42000,0.06224161013960838
countd,Hyper incremental,860000,43000,0.0650131618604064
countd,Hyper incremental,880000,44000,0.06545850913971663
countd,Hyper incremental,900000,45000,0.06787881068885326
countd,Hyper incremental,920000,46000,0.07165831420570612
countd,Hyper incremental,940000,47000,0.0662643751129508
countd,Hyper incremental,960000,48000,0.07188829872757196
countd,Hyper incremental,980000,49000,0.07138263899832964
countd,Hyper incremental,1000000,50000,0.0742212813347578
countd,Hyper incremental,1020000,51000,0.07327800523489714
countd,Hyper incremental,1040000,52000,0.07662354875355959
countd,Hyper incremental,1060000,53000,0.07825447712093592
countd,Hyper incremental,1080000,54000,0.08249116782099009
countd,Hyper incremental,1100000,55000,0.08444667141884565
countd,Hyper incremental,1120000,56000,0.08306252397596836
countd,Hyper incremental,1140000,57000,0.08539052028208971
countd,Hyper incremental,1160000,58000,0.08901091665029526
countd,Hyper incremental,1180000,59000,0.08768614567816257
countd,Hyper incremental,1200000,60000,0.1322125568985939
countd,Hyper incremental,1220000,61000,0.1391022363677621
countd,Hyper incremental,1240000,62000,0.13719910755753517
countd,Hyper incremental,1260000,63000,0.13885618094354868
countd,Hyper incremental,1280000,64000,0.13989058509469032
countd,Hyper incremental,1300000,65000,0.14235947001725435
countd,Hyper incremental,1320000,66000,0.14227862283587456
countd,Hyper incremental,1340000,67000,0.1407330445945263
countd,Hyper incremental,1360000,68000,0.14571797847747803
countd,Hyper incremental,1380000,69000,0.15033423341810703
countd,Hyper incremental,1400000,70000,0.16035582218319178
countd,Hyper incremental,1420000,71000,0.1565967369824648
countd,Hyper incremental,1440000,72000,0.1629079021513462
countd,Hyper incremental,1460000,73000,0.16554477345198393
countd,Hyper incremental,1480000,74000,0.1651927689090371
countd,Hyper incremental,1500000,75000,0.1652971003204584
countd,Hyper incremental,1520000,76000,0.16953253652900457
countd,Hyper incremental,1540000,77000,0.1732344450429082
countd,Hyper incremental,1560000,78000,0.17756062652915716
countd,Hyper incremental,1580000,79000,0.17368346732109785
countd,Hyper incremental,1600000,80000,0.1805989621207118
countd,Hyper incremental,1620000,81000,0.18562476709485054
countd,Hyper incremental,1640000,82000,0.18492516502738
countd,Hyper incremental,1660000,83000,0.18989296443760395
countd,Hyper incremental,1680000,84000,0.18753230199217796
countd,Hyper incremental,1700000,85000,0.1857189554721117
countd,Hyper incremental,1720000,86000,0.19316302426159382
countd,Hyper incremental,1740000,87000,0.1961412290111184
countd,Hyper incremental,1760000,88000,0.20016639586538076
countd,Hyper incremental,1780000,89000,0.19609680958092213
countd,Hyper incremental,1800000,90000,0.2025496233254671
countd,Hyper incremental,1820000,91000,0.20819024555385113
countd,Hyper incremental,1840000,92000,0.21522459294646978
countd,Hyper incremental,1860000,93000,0.21183248050510883
countd,Hyper incremental,1880000,94000,0.20610596891492605
countd,Hyper incremental,1900000,95000,0.2149614281952381
countd,Hyper incremental,1920000,96000,0.21532990410923958
countd,Hyper incremental,1940000,97000,0.21916641108691692
countd,Hyper incremental,1960000,98000,0.22402965370565653
countd,Hyper incremental,1980000,99000,0.22447316627949476
countd,Hyper incremental,2000000,100000,0.22354820929467678
countd,Hyper tree,1,1,0.0026219645515084267
countd,Hyper tree,20000,1000,0.01503212284296751
countd,Hyper tree,40000,2000,0.018909900449216366
countd,Hyper tree,60000,3000,0.02209107019007206
countd,Hyper tree,80000,4000,0.025032097473740578
countd,Hyper tree,100000,5000,0.02573572564870119
countd,Hyper tree,120000,6000,0.029473045840859413
countd,Hyper tree,140000,7000,0.030704202130436897
countd,Hyper tree,160000,8000,0.03278367780148983
countd,Hyper tree,180000,9000,0.03334512747824192
countd,Hyper tree,200000,10000,0.035264819860458374
countd,Hyper tree,220000,11000,0.03560850769281387
countd,Hyper tree,240000,12000,0.03646673634648323
countd,Hyper tree,260000,13000,0.03813549689948559
countd,Hyper tree,280000,14000,0.03906052000820637
countd,Hyper tree,300000,15000,0.039211925119161606
countd,Hyper tree,320000,16000,0.041126664727926254
countd,Hyper tree,340000,17000,0.041682892479002476
countd,Hyper tree,360000,18000,0.04270058684051037
countd,Hyper tree,380000,19000,0.0451284684240818
countd,Hyper tree,400000,20000,0.04597611166536808
countd,Hyper tree,420000,21000,0.04585737083107233
countd,Hyper tree,440000,22000,0.04790093842893839
countd,Hyper tree,460000,23000,0.04896224942058325
countd,Hyper tree,480000,24000,0.05050173960626125
countd,Hyper tree,500000,25000,0.05161902494728565
countd,Hyper tree,520000,26000,0.05223989952355623
countd,Hyper tree,540000,27000,0.0528931375592947
countd,Hyper tree,560000,28000,0.05349975544959307
countd,Hyper tree,580000,29000,0.05582521017640829
countd,Hyper tree,600000,30000,0.05715175997465849
countd,Hyper tree,620000,31000,0.05837410409003496
countd,Hyper tree,640000,32000,0.060074709355831146
countd,Hyper tree,660000,33000,0.0614218395203352
countd,Hyper tree,680000,34000,0.06203292217105627
countd,Hyper tree,700000,35000,0.06224373262375593
countd,Hyper tree,720000,36000,0.06315906997770071
countd,Hyper tree,740000,37000,0.06345762312412262
countd,Hyper tree,760000,38000,0.06590298097580671
countd,Hyper tree,780000,39000,0.06644249521195889
countd,Hyper tree,800000,40000,0.06761938892304897
countd,Hyper tree,820000,41000,0.07213572412729263
countd,Hyper tree,840000,42000,0.07163172587752342
countd,Hyper tree,860000,43000,0.0768592031672597
countd,Hyper tree,880000,44000,0.07881610188633204
countd,Hyper tree,900000,45000,0.08065041992813349
countd,Hyper tree,920000,46000,0.08017459139227867
countd,Hyper tree,940000,47000,0.08185833692550659
countd,Hyper tree,960000,48000,0.08361389953643084
countd,Hyper tree,980000,49000,0.08209710475057364
countd,Hyper tree,1000000,50000,0.08553027641028166
countd,Hyper tree,1020000,51000,0.08765015844255686
countd,Hyper tree,1040000,52000,0.08816137071698904
countd,Hyper tree,1060000,53000,0.09314613230526447
countd,Hyper tree,1080000,54000,0.09546021465212107
countd,Hyper tree,1100000,55000,0.09935095068067312
countd,Hyper tree,1120000,56000,0.09774911031126976
countd,Hyper tree,1140000,57000,0.10059036687016487
countd,Hyper tree,1160000,58000,0.10110710002481937
countd,Hyper tree,1180000,59000,0.10113214235752821
countd,Hyper tree,1200000,60000,0.10425852332264185
countd,Hyper tree,1220000,61000,0.10655804071575403
countd,Hyper tree,1240000,62000,0.104288668371737
countd,Hyper tree,1260000,63000,0.10732956230640411
countd,Hyper tree,1280000,64000,0.10438982769846916
countd,Hyper tree,1300000,65000,0.10824169032275677
countd,Hyper tree,1320000,66000,0.11037013400346041
countd,Hyper tree,1340000,67000,0.11011478770524263
countd,Hyper tree,1360000,68000,0.11023069266229868
countd,Hyper tree,1380000,69000,0.11337416246533394
countd,Hyper tree,1400000,70000,0.11278609838336706
