algorithm	fanout	cascading	input_size	run	time
rank_unbounded	2	1	10000	0	0.00837289
rank_unbounded	2	1	10000	1	0.00741842
rank_unbounded	2	1	10000	2	0.00762486
rank_unbounded	2	1	10000	3	0.00760787
rank_unbounded	2	1	10000	4	0.0076573
rank_unbounded	2	1	100000	0	0.135086
rank_unbounded	2	1	100000	1	0.134388
rank_unbounded	2	1	100000	2	0.13474
rank_unbounded	2	1	100000	3	0.135829
rank_unbounded	2	1	100000	4	0.134686
rank_unbounded	2	1	1000000	0	1.98057
rank_unbounded	2	1	1000000	1	1.97989
rank_unbounded	2	1	1000000	2	1.97878
rank_unbounded	2	2	10000	0	0.00805989
rank_unbounded	2	2	10000	1	0.00688201
rank_unbounded	2	2	10000	2	0.00694909
rank_unbounded	2	2	10000	3	0.0069159
rank_unbounded	2	2	10000	4	0.00688474
rank_unbounded	2	2	100000	0	0.124427
rank_unbounded	2	2	100000	1	0.113064
rank_unbounded	2	2	100000	2	0.116595
rank_unbounded	2	2	100000	3	0.111896
rank_unbounded	2	2	100000	4	0.110868
rank_unbounded	2	2	1000000	0	1.92995
rank_unbounded	2	2	1000000	1	1.94739
rank_unbounded	2	2	1000000	2	1.96388
rank_unbounded	2	4	10000	0	0.00774027
rank_unbounded	2	4	10000	1	0.0070384
rank_unbounded	2	4	10000	2	0.00702631
rank_unbounded	2	4	10000	3	0.00708963
rank_unbounded	2	4	10000	4	0.0070307
rank_unbounded	2	4	100000	0	0.11931
rank_unbounded	2	4	100000	1	0.106879
rank_unbounded	2	4	100000	2	0.122816
rank_unbounded	2	4	100000	3	0.107011
rank_unbounded	2	4	100000	4	0.10692
rank_unbounded	2	4	1000000	0	1.82801
rank_unbounded	2	4	1000000	1	1.83913
rank_unbounded	2	4	1000000	2	1.83862
rank_unbounded	2	8	10000	0	0.00803442
rank_unbounded	2	8	10000	1	0.00754643
rank_unbounded	2	8	10000	2	0.00758025
rank_unbounded	2	8	10000	3	0.0075303
rank_unbounded	2	8	10000	4	0.00760246
rank_unbounded	2	8	100000	0	0.121605
rank_unbounded	2	8	100000	1	0.112667
rank_unbounded	2	8	100000	2	0.114009
rank_unbounded	2	8	100000	3	0.112606
rank_unbounded	2	8	100000	4	0.112424
rank_unbounded	2	8	1000000	0	1.87966
rank_unbounded	2	8	1000000	1	1.87204
